Variant_Name_INALI	Group_INALI	Family_INALI	Current_Autodenomination	InaliCode	AutoEntries_Count
Kickapoo	Kickapoo	álgica	NULL	NULL	1
chontal de Oaxaca alto	chontal de Oaxaca	chontal de Oaxaca	NULL	NULL	1
chontal de Oaxaca bajo	chontal de Oaxaca	chontal de Oaxaca	NULL	NULL	1
chontal de Oaxaca de la costa	chontal de Oaxaca	chontal de Oaxaca	NULL	NULL	1
cucapá	cucapá	cochimí-yumana	ku’ahl BAJA CALIFORNIA: Ensenada: Comunidad Indígena de Santa Catarina, El Aguajito (Mat Chip) [Rancho Matchip],	NULL	1
kiliwa	kiliwa	cochimí-yumana	ko’lew BAJA CALIFORNIA: Ensenada: Arroyo de León (Ejido Kiliwas), Ejido San Francisco R. Serrano (Valle San Matías),	NULL	1
test-p0-variant-a	ku'ahl	cochimí-yumana	NULL	NULL	0
test-p0-variant-b	ku'ahl	cochimí-yumana	NULL	NULL	0
kumiai	kumiai	cochimí-yumana	tipai BAJA CALIFORNIA: Ensenada: El Porvenir (Guadalupe), Ensenada, Francisco Zarco (Guadalupe), La Huerta, La	NULL	1
paipai	paipai	cochimí-yumana	jaspuy pai BAJA CALIFORNIA: Ensenada: Arroyo de León (Ejido Kiliwas), Camalu, Cañón de la Parra, Comunidad Indígena de	NULL	1
huave del este	huave	huave	NULL	NULL	1
huave del oeste	huave	huave	ombeayiüts OAXACA: Juchitán de Zaragoza: Álvaro Obregón, Colonia David López Nelio, Chicapa de Castro, Emiliano Zapata,	NULL	1
Akateko	Akateko	maya	Kuti’ CAMPECHE: Champotón: Maya Tecún I, Santo Domingo Kesté.	NULL	1
Awakateko	Awakateko	maya	Qyool (de Aguacatán) CAMPECHE: Champotón: Maya Tecún I, Maya Tecún II, Santo Domingo Kesté.	NULL	1
ch’ol del noroeste	ch'ol	maya	jach-t’aan CHIAPAS: Ocosingo: Bethel, Bonampak, Lacanjá Chansayab, Maeva, Nahá, Ojo de Agua [Ojo de Agua Chankín],	NULL	1
